"id","volume","pubid","name","floruit","sex","notbefore","notafter","status","placecode","region","settlement","district","lat","long"
"V3a-10516","3a","1","Κλειταγόρα","v BC","2","-500","-400","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10517","3a","7","Κλεόβουλος","c.150-160AD","1","150","160","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10518","3a","5","Κλεόβουλος","ii AD","1","100","200","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10519","3a","6","Κλεόβουλος","ii AD","1","100","200","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10520","3a","4","Κλεόβουλος","421BC","1","-421","-421","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10521","3a","6","Κλεογένης","ii BC","1","-200","-100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10522","3a","19","Κλεόδαμος","c.131-133AD","1","131","133","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10523","3a","21","Κλεόδαμος","c.140-150AD","1","140","150","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10524","3a","13","Κλεόδαμος","c.30-20BC","1","-30","-20","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10525","3a","16","Κλεόδαμος","c.100AD","1","100","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10526","3a","20","Κλεόδαμος","c.140AD","1","140","140","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10527","3a","17","Κλεόδαμος","c.100AD","1","100","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10528","3a","15","Κλεόδαμος","c.90-100AD","1","90","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10529","3a","14","Κλεόδαμος","c.90-100AD","1","90","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10530","3a","2","Κλεοίτας","c.217-230AD","1","217","230","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10531","3a","1","Κλεοκρατίδας","imp.","1","-31","310","","LGPN_33455","Lakonia","Gytheion","","36.7637","22.5624"
"V3a-10532","3a","5","Κλεόμαντις","s.iv BC","1","-350","-301","mantis","LGPN_33961","Lakonia","","","37.0281","22.6254"
"V3a-10533","3a","37","Κλεόμαχος","c.175-200AD","1","175","200","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10534","3a","36","Κλεόμαχος","c.175-200AD","1","175","200","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10535","3a","32","Κλεόμαχος","c.30-20BC","1","-30","-20","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10536","3a","34","Κλεόμαχος","c.80-90AD","1","80","90","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10537","3a","33","Κλεόμαχος","c.80-90AD","1","80","90","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10538","3a","31","Κλεόμαχος","v BC","1","-500","-400","","LGPN_33462","Lakonia","Oitylos","","36.7081","22.3884"
"V3a-10539","3a","35","Κλεόμαχος","c.120-130AD","1","120","130","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10542","3a","6","Κλεόμβροτος","c.535-479BC","1","-535","-479","regent","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10543","3a","7","Κλεόμβροτος","c.410-371BC","1","-410","-371","king","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10544","3a","8","Κλεόμβροτος","m.iii BC","1","-275","-225","king","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10545","3a","13","Κλεομένης","f.iii AD","1","201","250","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10546","3a","12","Κλεομένης","s.iii BC","1","-250","-201","regent","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10547","3a","7","Κλεομένης","c.600BC","1","-600","-600","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10548","3a","8","Κλεομένης","c.540-487BC","1","-540","-487","king","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10549","3a","10","Κλεομένης","c.390-309BC","1","-390","-309","king","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10550","3a","11","Κλεομένης","c.260-219BC","1","-260","-219","king","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10551","3a","9","Κλεομένης","427BC","1","-427","-427","regent","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10552","3a","1","Κλεόμητος","imp.","1","-31","310","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10553","3a","2","Κλεονικίδας","c.150-160AD","1","150","160","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10554","3a","1","Κλεονικίδας","imp.","1","-31","310","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10555","3a","13","Κλεόνικος","c.100-120AD","1","100","120","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10556","3a","12","Κλεόνικος","i BC/i AD","1","-25","25","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10557","3a","9","Κλεόξενος","i AD","1","0","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10558","3a","7","Κλεόξενος","Sii BC","1","-150","-101","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10559","3a","8","Κλεόξενος","i BC/i AD","1","-25","25","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10560","3a","22","Κλεοπάτρα","ii-iii AD","2","200","300","","LGPN_33456","Lakonia","Hippola","","36.5094","22.3597"
"V3a-10561","3a","6","Κλεοπτόλεμος","684BC","1","-684","-684","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10562","3a","1","Κλεόλα","v/iv BC","2","-425","-375","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10563","3a","12","Κλεοσθένης","416BC","1","-416","-416","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10564","3a","1","Κλεοσιμένης","345-340BC","1","-345","-340","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10565","3a","9","Κλεόστρατος","255-254BC","1","-255","-254","","LGPN_33460","Lakonia","Kythera","","36.2236","23.0584"
"V3a-10566","3a","2","Κλεόφαντος","c.140-160AD","1","140","160","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10567","3a","1","Κλεόφαντος","c.70-100AD","1","70","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10568","3a","1","Κλεοχάρης","C550-525BC","1","-550","-525","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10569","3a","1","Κλεπάτρα","ii-i BC","2","-200","-100","","LGPN_33467","Lakonia","Pyrrhichos","","36.6573","22.4337"
"V3a-10570","3a","1","Κλεύας","c.550BC","1","-550","-550","dub.","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10571","3a","1","Κλευγενίδας","vi BC","1","-600","-500","","LGPN_33448","Lakonia","Amyklai","","37.0263","22.4375"
"V3a-10573","3a","18","Κλεόδαμος","c.100-125AD","1","100","125","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10574","3a","64","Κλέων","f.ii AD","1","101","150","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10575","3a","63","Κλέων","f.ii AD","1","101","150","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10576","3a","65","Κλέων","f.ii AD","1","101","150","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10577","3a","67","Κλέων","c.110-125AD","1","110","125","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10578","3a","78","Κλέων","c.150-160AD","1","150","160","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10579","3a","71","Κλέων","c.130AD","1","130","130","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10580","3a","72","Κλέων","c.130AD","1","130","130","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10581","3a","74","Κλέων","134AD","1","134","134","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10582","3a","55","Κλέων","s.i BC","1","-50","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10583","3a","54","Κλέων","s.i BC","1","-50","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10584","3a","76","Κλέων","c.140-160AD","1","140","160","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10585","3a","79","Κλέων","c.170AD","1","170","170","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10586","3a","62","Κλέων","c.100-125AD","1","100","125","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10587","3a","68","Κλέων","m.ii AD","1","125","175","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10588","3a","59","Κλέων","c.25-1BC","1","-25","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10589","3a","58","Κλέων","c.30-20BC","1","-30","-20","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10590","3a","60","Κλέων","c.25-1BC","1","-25","-1","freed.","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10591","3a","61","Κλέων","i-ii AD","1","100","200","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10592","3a","53","Κλέων","i BC-i AD","1","-100","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10593","3a","50","Κλέων","hell.","1","-323","-31","","LGPN_33455","Lakonia","Gytheion","","36.7637","22.5624"
"V3a-10594","3a","57","Κλέων","imp.","1","-31","310","","LGPN_33471","Lakonia","Teuthrone","","36.6201","22.4896"
"V3a-10595","3a","69","Κλέων","127AD","1","127","127","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10596","3a","75","Κλέων","c.140-145AD","1","140","145","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10597","3a","70","Κλέων","127AD","1","127","127","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10598","3a","80","Κλέων","ii BC","1","-200","-100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10599","3a","52","Κλέων","c.146-32BC","1","-146","-32","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10600","3a","77","Κλέων","147AD","1","147","147","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10601","3a","66","Κλέων","c.105AD","1","105","105","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10602","3a","73","Κλέων","c.132AD","1","132","132","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10603","3a","56","Κλέων","s.i BC","1","-50","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10604","3a","51","Κλέων","ii-i BC","1","-200","-100","","LGPN_33451","Lakonia","Kardamyle","","36.8866","22.2324"
"V3a-10605","3a","1","Κλεωνίκα","imp.","2","-31","310","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10606","3a","27","Κλεώνυμος","c.105-122AD","1","105","122","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10607","3a","24","Κλεώνυμος","c.80-120AD","1","80","120","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10608","3a","23","Κλεώνυμος","i BC/i AD","1","-25","25","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10609","3a","28","Κλεώνυμος","c.140-160AD","1","140","160","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
